Sensor1,Sensor2,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor3
262.06296,197.3793704,25.2412592,211.324184,40.7925662,21.000267,176.3791034,151.1378442
262.23483,197.3776517,25.2446966,211.3228663,41.01802035,20.782547,176.5951047,151.3504081
261.91656,197.3808344,25.2383312,211.3253064,41.2550082,20.531237,176.8495974,151.6112662
262.11514,197.3788486,25.2423028,211.3237839,41.3157213,20.47946,176.8993886,151.6570858
262.0552,197.379448,25.241104,211.3242435,41.681467,20.111017,177.268431,152.027327
262.0978,197.379022,25.241956,211.3239169,41.246544,20.547857,176.831165,151.589209
262.2019,197.377981,25.244038,211.3231188,41.1287875,20.670298,176.707683,151.463645
262.34708,197.3765292,25.2469416,211.3220057,41.2265016,20.579117,176.7974122,151.5504706
262.98563,197.3701437,25.2597126,211.3171102,41.10118235,20.733171,176.6369727,151.3772601
262.6317,197.373683,25.252634,211.3198236,40.6449775,21.173449,176.200234,150.9476
262.14084,197.3785916,25.2428168,211.3235869,40.3329188,21.463419,175.9151726,150.6723558
261.36102,197.3863898,25.2272204,211.3295655,40.9442239,20.817022,176.5693678,151.3421474
261.00534,197.3899466,25.2201068,211.3322924,40.6568553,21.088385,176.3015616,151.0814548
261.00095,197.3899905,25.220019,211.3323261,40.75308275,20.99196,176.3980305,151.1780115
261.12405,197.3887595,25.222481,211.3313823,40.59125925,21.159323,176.2294365,151.0069555
260.67218,197.3932782,25.2134436,211.3348466,40.7751601,20.955088,176.4381902,151.2247466
260.84555,197.3915445,25.216911,211.3335175,40.82591975,20.91213,176.4794145,151.2625035
260.21823,197.3978177,25.2043646,211.3383269,40.50556435,21.204256,176.1935617,150.9891971
260.79874,197.3920126,25.2159748,211.3338763,40.6056083,21.130335,176.2616776,151.0457028
260.85614,197.3914386,25.2171228,211.3334363,40.3421143,21.396412,175.9950266,150.7779038
261.04416,197.3895584,25.2208832,211.3319948,40.6762422,21.070745,176.3188134,151.0979302
260.80005,197.3919995,25.216001,211.3338663,40.64090225,21.0951,176.2968995,151.0808985
261.61017,197.3838983,25.2322034,211.3276554,40.44808465,21.324373,176.0595253,150.8273219
261.50253,197.3849747,25.2300506,211.3284806,40.35264185,21.414972,175.9700027,150.7399521
261.60388,197.3839612,25.2320776,211.3277036,40.2610246,21.51115,175.8728112,150.6407336
261.27234,197.3872766,25.2254468,211.3302454,40.4935813,21.263674,176.1236026,150.8981558
261.3142,197.386858,25.226284,211.3299245,39.767131,21.992008,175.39485,150.168566
261.42212,197.3857788,25.2284424,211.3290971,39.6416714,22.122324,175.2634548,150.0350124
261.6799,197.383201,25.233598,211.3271208,40.0402195,21.735376,175.647825,150.414227
261.45102,197.3854898,25.2290204,211.3288755,40.8889569,20.876339,176.5091508,151.2801304
260.86548,197.3913452,25.2173096,211.3333647,40.7124706,21.026476,176.3648692,151.1475596
261.42252,197.3857748,25.2284504,211.329094,40.2493114,21.514702,175.8710728,150.6426224
260.83517,197.3916483,25.2167034,211.333597,40.38904565,21.348537,176.0431113,150.8264079
261.56464,197.3843536,25.2312928,211.3280044,40.3701648,21.400244,175.9841096,150.7528168
261.6342,197.383658,25.232684,211.3274711,40.28158,21.491959,175.891699,150.659015
261.47025,197.3852975,25.229405,211.3287281,39.85559525,21.910566,175.4747315,150.2453265
261.6813,197.383187,25.233626,211.32711,39.8470925,21.928566,175.454621,150.220995
262.26602,197.3773398,25.2453204,211.3226272,40.1670469,21.634924,175.7424158,150.4970954
262.2611,197.377389,25.245222,211.3226649,40.1310855,21.670664,175.706725,150.461503
262.48013,197.3751987,25.2496026,211.3209857,39.98271785,21.828888,175.5463107,150.2967081
262.05676,197.3794324,25.2411352,211.3242315,39.9951562,21.797398,175.5820344,150.3408992
262.15833,197.3784167,25.2431666,211.3234528,40.05502085,21.742104,175.6363127,150.3931461
261.47095,197.3852905,25.229419,211.3287227,39.99977575,21.766417,175.6188735,150.3894545
260.26453,197.3973547,25.2052906,211.3379719,39.68682585,22.025078,175.3722767,150.1669861
260.24863,197.3975137,25.2049726,211.3380938,39.55009835,22.16109,175.2364237,150.0314511
260.9943,197.390057,25.219886,211.332377,39.4993495,22.245394,175.144663,149.924777
261.45624,197.3854376,25.2291248,211.3288355,39.4250308,22.3405,175.0449376,149.8158128
261.44373,197.3855627,25.2288746,211.3289314,39.44489185,22.320076,175.0654867,149.8366121
261.5532,197.384468,25.231064,211.3280921,39.44693,22.322964,175.061504,149.83044
261.15186,197.3884814,25.2230372,211.3311691,39.4668627,22.284971,175.1035104,149.8804732
261.4078,197.385922,25.228156,211.3292069,39.484836,22.278515,175.107407,149.879251
262.83914,197.3716086,25.2567828,211.3182333,39.5663893,22.261372,175.1102366,149.8534538
261.4724,197.385276,25.229448,211.3287116,39.630401,22.135857,175.249419,150.019971
261.6026,197.383974,25.232052,211.3277134,39.620622,22.151495,175.232479,150.000427
260.8532,197.391468,25.217064,211.3334588,39.59166,22.146734,175.244734,150.02767
260.5443,197.394557,25.210886,211.335827,39.5317535,22.19274,175.201817,149.990931
262.04968,197.3795032,25.2409936,211.3242858,39.6034676,22.188768,175.1907352,149.9497416
265.20676,197.3479324,25.3041352,211.3000815,39.7438592,22.190445,175.1574874,149.8533522
265.26004,197.3473996,25.3052008,211.299673,39.7589558,22.177746,175.1696536,149.8644528
264.93167,197.3506833,25.2986334,211.3021905,39.72537115,22.196554,175.1541293,149.8554959
264.3378,197.356622,25.286756,211.3067435,39.748843,22.146358,175.210264,149.923508
263.89392,197.3610608,25.2778784,211.3101466,39.7380994,22.137127,175.2239338,149.9460554
264.0526,197.359474,25.281052,211.3089301,39.769654,22.112713,175.246761,149.965709
264.23746,197.3576254,25.2847492,211.3075128,39.7864227,22.104263,175.2533624,149.9686132
